,frequency,percentage
ljg,40,5.820641600156075e-08
lgk,44,6.402705760171682e-08
lfn,70,1.018612280027313e-07
ksd,87,1.2659895480339463e-07
khf,40,5.820641600156075e-08
kfj,42,6.111673680163878e-08
jvp,45,6.548221800175585e-08
jhs,45,6.548221800175585e-08
jdr,49,7.130285960191191e-08
hpq,39,5.6751255601521726e-08
gbm,46,6.693737840179486e-08
gbb,58,8.439930320226308e-08
ftk,51,7.421318040198995e-08
flm,81,1.1786799240316052e-07
fjb,39,5.6751255601521726e-08
dzh,76,1.1059219040296542e-07
dct,52,7.566834080202898e-08
clp,82,1.1932315280319953e-07
cfx,38,5.529609520148271e-08
cff,49,7.130285960191191e-08
cdj,44,6.402705760171682e-08
btn,109,1.5861248360425302e-07
bdc,47,6.839253880183388e-08
bbp,65,9.458542600253621e-08
zcl,40,5.820641600156075e-08
wvb,37,5.384093480144369e-08
wsd,76,1.1059219040296542e-07
wpp,53,7.7123501202068e-08
wml,44,6.402705760171682e-08
wmf,73,1.0622670920284837e-07
wlk,40,5.820641600156075e-08
whp,39,5.6751255601521726e-08
vhd,70,1.018612280027313e-07
vbf,39,5.6751255601521726e-08
tnk,117,1.7025376680456519e-07
tnc,82,1.1932315280319953e-07
thp,65,9.458542600253621e-08
tdp,48,6.98476992018729e-08
tcs,56,8.148898240218504e-08
tck,42,6.111673680163878e-08
tcb,52,7.566834080202898e-08
stw,47,6.839253880183388e-08
sqr,43,6.25718972016778e-08
spg,47,6.839253880183388e-08
rvv,46,6.693737840179486e-08
pxl,45,6.548221800175585e-08
prb,99,1.4406087960386286e-07
plb,71,1.0331638840277032e-07
mwc,59,8.585446360230211e-08
mvj,39,5.6751255601521726e-08
lvc,53,7.7123501202068e-08
lrc,42,6.111673680163878e-08
lcg,40,5.820641600156075e-08
jms,40,5.820641600156075e-08
jhv,65,9.458542600253621e-08
jcb,46,6.693737840179486e-08
jbh,51,7.421318040198995e-08
hbb,85,1.236886340033166e-07
gnp,49,7.130285960191191e-08
gkj,59,8.585446360230211e-08
gdm,48,6.98476992018729e-08
djr,60,8.730962400234112e-08
djc,64,9.313026560249719e-08
dbd,67,9.749574680261426e-08
czc,50,7.275802000195093e-08
cfw,40,5.820641600156075e-08
zdr,74,1.0768186960288739e-07
xss,50,7.275802000195093e-08
xpt,41,5.966157640159977e-08
xnv,40,5.820641600156075e-08
wsp,65,9.458542600253621e-08
wpf,44,6.402705760171682e-08
vng,56,8.148898240218504e-08
tsg,41,5.966157640159977e-08
tpn,62,9.021994480241916e-08
tbf,80,1.164128320031215e-07
rws,41,5.966157640159977e-08
rtb,52,7.566834080202898e-08
prv,170,2.473772680066332e-07
pgh,41,5.966157640159977e-08
nrg,50,7.275802000195093e-08
ngl,77,1.1204735080300444e-07
nch,116,1.6879860640452616e-07
mtm,78,1.1350251120304345e-07
mnk,77,1.1204735080300444e-07
mgh,49,7.130285960191191e-08
mdn,55,8.003382200214603e-08
lww,36,5.238577440140467e-08
kkf,40,5.820641600156075e-08
kgk,39,5.6751255601521726e-08
jfc,53,7.7123501202068e-08
hpp,62,9.021994480241916e-08
hkm,61,8.876478440238014e-08
gkv,81,1.1786799240316052e-07
fgk,40,5.820641600156075e-08
fbt,43,6.25718972016778e-08
dsn,72,1.0477154880280934e-07
dhd,40,5.820641600156075e-08
dcx,37,5.384093480144369e-08
cjh,36,5.238577440140467e-08
blx,53,7.7123501202068e-08
bkt,64,9.313026560249719e-08
bkl,55,8.003382200214603e-08
bfn,41,5.966157640159977e-08
bbh,74,1.0768186960288739e-07
wq,61,8.876478440238014e-08
vvt,58,8.439930320226308e-08
vbl,83,1.2077831320323856e-07
trm,71,1.0331638840277032e-07
tlt,74,1.0768186960288739e-07
rfp,42,6.111673680163878e-08
rfl,50,7.275802000195093e-08
qlt,42,6.111673680163878e-08
ppg,56,8.148898240218504e-08
pnp,45,6.548221800175585e-08
pmr,47,6.839253880183388e-08
phf,60,8.730962400234112e-08
pcf,76,1.1059219040296542e-07
nrv,48,6.98476992018729e-08
mrp,215,3.12859486008389e-07
mpm,43,6.25718972016778e-08
mhk,40,5.820641600156075e-08
lld,46,6.693737840179486e-08
krr,94,1.3678507760366776e-07
jgr,81,1.1786799240316052e-07
hvd,69,1.0040606760269229e-07
hsg,39,5.6751255601521726e-08
hmx,46,6.693737840179486e-08
ffr,109,1.5861248360425302e-07
ffc,55,8.003382200214603e-08
drd,99,1.4406087960386286e-07
dgs,40,5.820641600156075e-08
dgb,44,6.402705760171682e-08
dfc,38,5.529609520148271e-08
cxb,36,5.238577440140467e-08
clb,38,5.529609520148271e-08
bnn,39,5.6751255601521726e-08
bmh,41,5.966157640159977e-08
bgn,70,1.018612280027313e-07
wrm,45,6.548221800175585e-08
vrm,64,9.313026560249719e-08
vdv,37,5.384093480144369e-08
swn,40,5.820641600156075e-08
sll,127,1.8480537080495538e-07
rgs,49,7.130285960191191e-08
rbv,34,4.9475453601326636e-08
qpv,42,6.111673680163878e-08
pvt,37,5.384093480144369e-08
mpt,91,1.324195964035507e-07
mgx,34,4.9475453601326636e-08
lgh,40,5.820641600156075e-08
klk,87,1.2659895480339463e-07
jmm,56,8.148898240218504e-08
jdm,53,7.7123501202068e-08
hld,92,1.3387475680358973e-07
hkn,47,6.839253880183388e-08
hfd,36,5.238577440140467e-08
hdg,37,5.384093480144369e-08
hcf,43,6.25718972016778e-08
gpz,36,5.238577440140467e-08
gpn,39,5.6751255601521726e-08
frt,87,1.2659895480339463e-07
fbq,34,4.9475453601326636e-08
dxh,35,5.093061400136565e-08
dft,47,6.839253880183388e-08
cgr,79,1.1495767160308247e-07
xw,74,1.0768186960288739e-07
xfr,61,8.876478440238014e-08
wzs,33,4.802029320128762e-08
vrc,50,7.275802000195093e-08
vpg,36,5.238577440140467e-08
tjm,74,1.0768186960288739e-07
swm,68,9.895090720265327e-08
sgr,146,2.1245341840569674e-07
sgp,58,8.439930320226308e-08
rsb,61,8.876478440238014e-08
rkh,43,6.25718972016778e-08
qk,63,9.167510520245817e-08
pwf,33,4.802029320128762e-08
mkf,50,7.275802000195093e-08
lth,79,1.1495767160308247e-07
lpb,37,5.384093480144369e-08
kpc,38,5.529609520148271e-08
jst,74,1.0768186960288739e-07
jbb,42,6.111673680163878e-08
hlj,73,1.0622670920284837e-07
hdk,40,5.820641600156075e-08
dsf,94,1.3678507760366776e-07
drz,36,5.238577440140467e-08
dnx,43,6.25718972016778e-08
dhr,103,1.4988152120401892e-07
dhf,41,5.966157640159977e-08
dfm,42,6.111673680163878e-08
crf,33,4.802029320128762e-08
bgg,50,7.275802000195093e-08
zj,145,2.109982580056577e-07
xxs,53,7.7123501202068e-08
xrt,35,5.093061400136565e-08
vxt,38,5.529609520148271e-08
vsl,56,8.148898240218504e-08
vsc,36,5.238577440140467e-08
vpv,48,6.98476992018729e-08
vlp,36,5.238577440140467e-08
tws,72,1.0477154880280934e-07
twb,37,5.384093480144369e-08
trb,77,1.1204735080300444e-07
snc,67,9.749574680261426e-08
sjc,42,6.111673680163878e-08
rhj,38,5.529609520148271e-08
rdv,34,4.9475453601326636e-08
rcg,73,1.0622670920284837e-07
rbg,39,5.6751255601521726e-08
pwm,42,6.111673680163878e-08
ncd,58,8.439930320226308e-08
mvv,54,7.857866160210701e-08
mrv,94,1.3678507760366776e-07
mng,57,8.294414280222406e-08
mgl,42,6.111673680163878e-08
lrd,55,8.003382200214603e-08
lpr,52,7.566834080202898e-08
lcm,43,6.25718972016778e-08
lbl,49,7.130285960191191e-08
ksk,76,1.1059219040296542e-07
kdb,36,5.238577440140467e-08
jrp,131,1.9062601240511145e-07
hnr,52,7.566834080202898e-08
hck,48,6.98476992018729e-08
gfx,46,6.693737840179486e-08
gcj,41,5.966157640159977e-08
fsv,40,5.820641600156075e-08
fpt,48,6.98476992018729e-08
fpd,33,4.802029320128762e-08
fgl,52,7.566834080202898e-08
dtz,38,5.529609520148271e-08
djb,63,9.167510520245817e-08
cws,69,1.0040606760269229e-07
cpj,36,5.238577440140467e-08
cld,39,5.6751255601521726e-08
bvr,40,5.820641600156075e-08
bsp,72,1.0477154880280934e-07
xsc,98,1.4260571920382383e-07
wpt,46,6.693737840179486e-08
wbt,45,6.548221800175585e-08
vmr,38,5.529609520148271e-08
vmd,45,6.548221800175585e-08
vks,41,5.966157640159977e-08
twk,32,4.6565132801248596e-08
tfh,41,5.966157640159977e-08
tbm,74,1.0768186960288739e-07
sqm,67,9.749574680261426e-08
pnd,61,8.876478440238014e-08
pkl,54,7.857866160210701e-08
nwz,92,1.3387475680358973e-07
nsh,60,8.730962400234112e-08
ngm,58,8.439930320226308e-08
mrw,59,8.585446360230211e-08
lgb,79,1.1495767160308247e-07
lff,43,6.25718972016778e-08
kxd,32,4.6565132801248596e-08
kkm,37,5.384093480144369e-08
hpc,52,7.566834080202898e-08
hdf,67,9.749574680261426e-08
ftd,69,1.0040606760269229e-07
frb,94,1.3678507760366776e-07
fnn,92,1.3387475680358973e-07
flc,63,9.167510520245817e-08
cpb,37,5.384093480144369e-08
ccf,95,1.3824023800370676e-07
xsd,33,4.802029320128762e-08
xnf,30,4.365481200117056e-08
xcr,63,9.167510520245817e-08
xcl,44,6.402705760171682e-08
wss,46,6.693737840179486e-08
vsk,50,7.275802000195093e-08
vpr,63,9.167510520245817e-08
vlg,96,1.396953984037458e-07
sjb,34,4.9475453601326636e-08
rkn,41,5.966157640159977e-08
rfk,67,9.749574680261426e-08
pld,40,5.820641600156075e-08
pkr,48,6.98476992018729e-08
nmv,39,5.6751255601521726e-08
nkj,45,6.548221800175585e-08
nkh,77,1.1204735080300444e-07
mvc,51,7.421318040198995e-08
msb,144,2.0954309760561868e-07
mbm,67,9.749574680261426e-08
lhs,41,5.966157640159977e-08
ldp,68,9.895090720265327e-08
kxf,30,4.365481200117056e-08
kll,85,1.236886340033166e-07
kbr,91,1.324195964035507e-07
jvf,40,5.820641600156075e-08
jdj,34,4.9475453601326636e-08
hdj,47,6.839253880183388e-08
ghh,31,4.510997240120958e-08
fsw,55,8.003382200214603e-08
fkm,41,5.966157640159977e-08
dvx,33,4.802029320128762e-08
dkg,49,7.130285960191191e-08
dfw,43,6.25718972016778e-08
cnt,89,1.2950927560347266e-07
cnp,57,8.294414280222406e-08
cbn,36,5.238577440140467e-08
bxd,32,4.6565132801248596e-08
bsm,57,8.294414280222406e-08
brm,35,5.093061400136565e-08
bjc,47,6.839253880183388e-08
xln,47,6.839253880183388e-08
vbb,30,4.365481200117056e-08
tjt,32,4.6565132801248596e-08
tjs,92,1.3387475680358973e-07
sgj,38,5.529609520148271e-08
sdn,44,6.402705760171682e-08
rvn,30,4.365481200117056e-08
rmc,34,4.9475453601326636e-08
rkf,44,6.402705760171682e-08
rch,46,6.693737840179486e-08
pws,38,5.529609520148271e-08
pbx,33,4.802029320128762e-08
pbr,56,8.148898240218504e-08
nzl,29,4.219965160113154e-08
nws,37,5.384093480144369e-08
nwn,31,4.510997240120958e-08
nvr,58,8.439930320226308e-08
nrt,53,7.7123501202068e-08
nkt,57,8.294414280222406e-08
ndg,63,9.167510520245817e-08
mwt,35,5.093061400136565e-08
mpb,48,6.98476992018729e-08
mlr,59,8.585446360230211e-08
mlf,33,4.802029320128762e-08
mfd,39,5.6751255601521726e-08
lbk,55,8.003382200214603e-08
kxk,30,4.365481200117056e-08
htl,65,9.458542600253621e-08
gsc,63,9.167510520245817e-08
gpg,66,9.604058640257524e-08
fmg,32,4.6565132801248596e-08
flx,30,4.365481200117056e-08
flw,38,5.529609520148271e-08
fkp,58,8.439930320226308e-08
dlc,33,4.802029320128762e-08
ddm,51,7.421318040198995e-08
dcn,50,7.275802000195093e-08
cxs,29,4.219965160113154e-08
cwf,30,4.365481200117056e-08
crn,65,9.458542600253621e-08
cdb,70,1.018612280027313e-07
bbg,37,5.384093480144369e-08
wsh,57,8.294414280222406e-08
wgp,35,5.093061400136565e-08
vvd,32,4.6565132801248596e-08
twp,34,4.9475453601326636e-08
sxh,28,4.074449120109252e-08
svb,39,5.6751255601521726e-08
srr,79,1.1495767160308247e-07
spt,54,7.857866160210701e-08
rtd,40,5.820641600156075e-08
rjd,28,4.074449120109252e-08
rgj,47,6.839253880183388e-08
rdn,50,7.275802000195093e-08
pwt,31,4.510997240120958e-08
ncg,47,6.839253880183388e-08
mdk,51,7.421318040198995e-08
lsm,42,6.111673680163878e-08
ldt,36,5.238577440140467e-08
lcs,36,5.238577440140467e-08
kvl,132,1.9208117280515048e-07
kmm,68,9.895090720265327e-08
kgn,32,4.6565132801248596e-08
jws,42,6.111673680163878e-08
jsb,44,6.402705760171682e-08
jcv,78,1.1350251120304345e-07
jbf,30,4.365481200117056e-08
hfp,49,7.130285960191191e-08
gsh,66,9.604058640257524e-08
gng,53,7.7123501202068e-08
gmr,32,4.6565132801248596e-08
gdc,35,5.093061400136565e-08
gdb,51,7.421318040198995e-08
fvf,30,4.365481200117056e-08
frr,148,2.1536373920577477e-07
fjg,29,4.219965160113154e-08
dtl,30,4.365481200117056e-08
dnn,69,1.0040606760269229e-07
dlm,31,4.510997240120958e-08
dlb,36,5.238577440140467e-08
djx,41,5.966157640159977e-08
dbb,36,5.238577440140467e-08
cll,42,6.111673680163878e-08
cdf,37,5.384093480144369e-08
bsn,38,5.529609520148271e-08
bpr,52,7.566834080202898e-08
bkf,63,9.167510520245817e-08
bhm,58,8.439930320226308e-08
bcv,31,4.510997240120958e-08
xmb,36,5.238577440140467e-08
wgc,56,8.148898240218504e-08
wfs,35,5.093061400136565e-08
vrh,33,4.802029320128762e-08
vgf,32,4.6565132801248596e-08
vcs,33,4.802029320128762e-08
tcc,32,4.6565132801248596e-08
tbr,85,1.236886340033166e-07
tbj,62,9.021994480241916e-08
skn,98,1.4260571920382383e-07
rth,55,8.003382200214603e-08
rps,45,6.548221800175585e-08
rlk,30,4.365481200117056e-08
plm,28,4.074449120109252e-08
nsn,53,7.7123501202068e-08
mpr,75,1.091370300029264e-07
lpt,33,4.802029320128762e-08
lnl,30,4.365481200117056e-08
lnb,36,5.238577440140467e-08
krt,125,1.8189505000487735e-07
krp,49,7.130285960191191e-08
kgv,38,5.529609520148271e-08
hmg,107,1.55702162804175e-07
hct,62,9.021994480241916e-08
ghs,32,4.6565132801248596e-08
gbj,32,4.6565132801248596e-08
frc,36,5.238577440140467e-08
fnd,40,5.820641600156075e-08
fkv,28,4.074449120109252e-08
dtx,37,5.384093480144369e-08
cqr,35,5.093061400136565e-08
cgp,32,4.6565132801248596e-08
bvb,55,8.003382200214603e-08
bkr,41,5.966157640159977e-08
bbn,32,4.6565132801248596e-08
xms,40,5.820641600156075e-08
xgx,26,3.783417040101449e-08
wkl,44,6.402705760171682e-08
wbm,31,4.510997240120958e-08
vwf,30,4.365481200117056e-08
vvp,28,4.074449120109252e-08
vcm,38,5.529609520148271e-08
tvb,139,2.022672956054236e-07
trk,82,1.1932315280319953e-07
tmf,65,9.458542600253621e-08
tkt,43,6.25718972016778e-08
tjh,39,5.6751255601521726e-08
tgf,50,7.275802000195093e-08
swb,30,4.365481200117056e-08
shf,39,5.6751255601521726e-08
sdl,83,1.2077831320323856e-07
qsd,28,4.074449120109252e-08
ppk,32,4.6565132801248596e-08
pll,64,9.313026560249719e-08
lsl,43,6.25718972016778e-08
jrf,30,4.365481200117056e-08
hsl,32,4.6565132801248596e-08
gtt,43,6.25718972016778e-08
gtl,78,1.1350251120304345e-07
glf,40,5.820641600156075e-08
fmt,31,4.510997240120958e-08
fmf,44,6.402705760171682e-08
fhn,32,4.6565132801248596e-08
dwg,43,6.25718972016778e-08
drl,80,1.164128320031215e-07
dcj,28,4.074449120109252e-08
ctn,60,8.730962400234112e-08
cpf,39,5.6751255601521726e-08
cdd,98,1.4260571920382383e-07
ccj,27,3.9289330801053505e-08
btc,73,1.0622670920284837e-07
bjr,110,1.6006764400429205e-07
bjb,57,8.294414280222406e-08
bdg,30,4.365481200117056e-08
zcz,31,4.510997240120958e-08
xhd,27,3.9289330801053505e-08
xdv,29,4.219965160113154e-08
wbr,35,5.093061400136565e-08
vsn,44,6.402705760171682e-08
vdm,29,4.219965160113154e-08
vcp,25,3.6379010000975465e-08
tsr,43,6.25718972016778e-08
tdb,28,4.074449120109252e-08
sdv,49,7.130285960191191e-08
rvt,57,8.294414280222406e-08
rtc,42,6.111673680163878e-08
rks,55,8.003382200214603e-08
qrt,26,3.783417040101449e-08
pvs,34,4.9475453601326636e-08
ptg,37,5.384093480144369e-08
pph,38,5.529609520148271e-08
pnv,29,4.219965160113154e-08
pnl,28,4.074449120109252e-08
pmb,39,5.6751255601521726e-08
pbk,25,3.6379010000975465e-08
nvm,32,4.6565132801248596e-08
nrm,58,8.439930320226308e-08
njh,27,3.9289330801053505e-08
ndc,39,5.6751255601521726e-08
mmb,94,1.3678507760366776e-07
ltg,28,4.074449120109252e-08
lnt,40,5.820641600156075e-08
lmt,45,6.548221800175585e-08
lkk,40,5.820641600156075e-08
lgl,31,4.510997240120958e-08
lfh,33,4.802029320128762e-08
ldd,34,4.9475453601326636e-08
lbc,37,5.384093480144369e-08
kkj,67,9.749574680261426e-08
kjh,52,7.566834080202898e-08
jtg,31,4.510997240120958e-08
jrr,42,6.111673680163878e-08
jdk,36,5.238577440140467e-08
hch,36,5.238577440140467e-08
gsn,33,4.802029320128762e-08
gsl,64,9.313026560249719e-08
gnd,27,3.9289330801053505e-08
ffw,32,4.6565132801248596e-08
fcb,68,9.895090720265327e-08
dtb,40,5.820641600156075e-08
cjd,31,4.510997240120958e-08
cbb,43,6.25718972016778e-08
brg,84,1.2223347360327757e-07
wth,30,4.365481200117056e-08
whz,24,3.492384960093645e-08
wfd,48,6.98476992018729e-08
wct,48,6.98476992018729e-08
vtl,29,4.219965160113154e-08
vgr,64,9.313026560249719e-08
vfx,36,5.238577440140467e-08
tcd,54,7.857866160210701e-08
tbb,102,1.484263608039799e-07
smq,28,4.074449120109252e-08
slg,57,8.294414280222406e-08
sfc,43,6.25718972016778e-08
scx,30,4.365481200117056e-08
scw,164,2.3864630560639907e-07
rrn,30,4.365481200117056e-08
rrd,42,6.111673680163878e-08
pkm,55,8.003382200214603e-08
pbn,24,3.492384960093645e-08
nxp,25,3.6379010000975465e-08
nrp,48,6.98476992018729e-08
nnr,55,8.003382200214603e-08
mxl,34,4.9475453601326636e-08
lkm,24,3.492384960093645e-08
ljf,28,4.074449120109252e-08
lhm,75,1.091370300029264e-07
lgg,67,9.749574680261426e-08
lgf,26,3.783417040101449e-08
kvh,24,3.492384960093645e-08
jsk,51,7.421318040198995e-08
jhw,29,4.219965160113154e-08
hnb,26,3.783417040101449e-08
hcs,30,4.365481200117056e-08
ghj,73,1.0622670920284837e-07
fgs,33,4.802029320128762e-08
fcv,25,3.6379010000975465e-08
fbb,31,4.510997240120958e-08
dkx,25,3.6379010000975465e-08
czk,24,3.492384960093645e-08
ctv,41,5.966157640159977e-08
crl,45,6.548221800175585e-08
cqb,24,3.492384960093645e-08
cfp,81,1.1786799240316052e-07
bkv,28,4.074449120109252e-08
xxb,28,4.074449120109252e-08
xkc,30,4.365481200117056e-08
xgl,32,4.6565132801248596e-08
xbl,85,1.236886340033166e-07
wsb,38,5.529609520148271e-08
wpc,35,5.093061400136565e-08
wmm,29,4.219965160113154e-08
wmg,26,3.783417040101449e-08
wmc,29,4.219965160113154e-08
wdt,33,4.802029320128762e-08
wdc,34,4.9475453601326636e-08
wcr,39,5.6751255601521726e-08
ttr,123,1.7898472920479929e-07
tgz,24,3.492384960093645e-08
spq,47,6.839253880183388e-08
rng,35,5.093061400136565e-08
rjf,30,4.365481200117056e-08
rcf,74,1.0768186960288739e-07
rbd,28,4.074449120109252e-08
qts,23,3.346868920089743e-08
pkg,73,1.0622670920284837e-07
nzr,24,3.492384960093645e-08
nwk,25,3.6379010000975465e-08
nft,55,8.003382200214603e-08
mrz,33,4.802029320128762e-08
mmp,57,8.294414280222406e-08
mcx,27,3.9289330801053505e-08
mch,186,2.7065983440725746e-07
lxt,24,3.492384960093645e-08
lpf,34,4.9475453601326636e-08
ksn,49,7.130285960191191e-08
krw,31,4.510997240120958e-08
jsm,41,5.966157640159977e-08
hqd,24,3.492384960093645e-08
hpd,44,6.402705760171682e-08
hnl,34,4.9475453601326636e-08
hmr,50,7.275802000195093e-08
hkl,47,6.839253880183388e-08
hhm,74,1.0768186960288739e-07
hdh,27,3.9289330801053505e-08
gmn,53,7.7123501202068e-08
ggc,23,3.346868920089743e-08
drv,52,7.566834080202898e-08
dlx,25,3.6379010000975465e-08
dfx,25,3.6379010000975465e-08
ctt,35,5.093061400136565e-08
ccv,50,7.275802000195093e-08
cbx,27,3.9289330801053505e-08
cbm,27,3.9289330801053505e-08
bvt,32,4.6565132801248596e-08
btm,57,8.294414280222406e-08
bjs,29,4.219965160113154e-08
bgr,73,1.0622670920284837e-07
wxc,23,3.346868920089743e-08
whr,34,4.9475453601326636e-08
vwb,25,3.6379010000975465e-08
vtf,24,3.492384960093645e-08
vsv,30,4.365481200117056e-08
vrx,24,3.492384960093645e-08
vrd,106,1.54247002404136e-07
twj,23,3.346868920089743e-08
ttd,61,8.876478440238014e-08
tmk,29,4.219965160113154e-08
svm,38,5.529609520148271e-08
rcv,29,4.219965160113154e-08
qtf,28,4.074449120109252e-08
pwd,26,3.783417040101449e-08
psm,39,5.6751255601521726e-08
prr,115,1.6734344600448715e-07
prd,87,1.2659895480339463e-07
pqs,22,3.201352880085841e-08
ppx,25,3.6379010000975465e-08
npw,25,3.6379010000975465e-08
ndx,24,3.492384960093645e-08
mbv,26,3.783417040101449e-08
lxx,71,1.0331638840277032e-07
ltc,44,6.402705760171682e-08
lsq,59,8.585446360230211e-08
lph,32,4.6565132801248596e-08
lgp,31,4.510997240120958e-08
lfm,24,3.492384960093645e-08
kwf,22,3.201352880085841e-08
kvk,33,4.802029320128762e-08
ktc,34,4.9475453601326636e-08
krv,67,9.749574680261426e-08
kmp,66,9.604058640257524e-08
kjn,60,8.730962400234112e-08
jnc,31,4.510997240120958e-08
jlp,42,6.111673680163878e-08
jhp,23,3.346868920089743e-08
hpb,26,3.783417040101449e-08
hlp,25,3.6379010000975465e-08
gzp,28,4.074449120109252e-08
gvr,24,3.492384960093645e-08
gdw,23,3.346868920089743e-08
gcd,28,4.074449120109252e-08
fnv,30,4.365481200117056e-08
fnp,36,5.238577440140467e-08
flk,39,5.6751255601521726e-08
fgj,33,4.802029320128762e-08
fgh,38,5.529609520148271e-08
dxt,24,3.492384960093645e-08
dwb,35,5.093061400136565e-08
drk,50,7.275802000195093e-08
dmw,72,1.0477154880280934e-07
dhb,41,5.966157640159977e-08
ckl,29,4.219965160113154e-08
cch,52,7.566834080202898e-08
ccg,68,9.895090720265327e-08
bns,45,6.548221800175585e-08
wxp,41,5.966157640159977e-08
wpn,28,4.074449120109252e-08
wbs,29,4.219965160113154e-08
vnp,27,3.9289330801053505e-08
vhj,39,5.6751255601521726e-08
vfd,24,3.492384960093645e-08
tvf,79,1.1495767160308247e-07
tpf,36,5.238577440140467e-08
tkb,38,5.529609520148271e-08
tgl,25,3.6379010000975465e-08
tfr,43,6.25718972016778e-08
rtw,28,4.074449120109252e-08
rtk,22,3.201352880085841e-08
rmk,27,3.9289330801053505e-08
qck,22,3.201352880085841e-08
npg,34,4.9475453601326636e-08
nkw,31,4.510997240120958e-08
nct,37,5.384093480144369e-08
mnr,29,4.219965160113154e-08
mlt,36,5.238577440140467e-08
mgt,27,3.9289330801053505e-08
lsb,33,4.802029320128762e-08
lfb,28,4.074449120109252e-08
ldb,24,3.492384960093645e-08
knc,33,4.802029320128762e-08
kjp,66,9.604058640257524e-08
jvh,42,6.111673680163878e-08
jmd,23,3.346868920089743e-08
jjp,21,3.055836840081939e-08
hpj,22,3.201352880085841e-08
hll,35,5.093061400136565e-08
hkt,29,4.219965160113154e-08
gwt,27,3.9289330801053505e-08
fwh,30,4.365481200117056e-08
fsl,48,6.98476992018729e-08
frg,48,6.98476992018729e-08
fdd,52,7.566834080202898e-08
drf,102,1.484263608039799e-07
dhp,29,4.219965160113154e-08
dgt,37,5.384093480144369e-08
crw,34,4.9475453601326636e-08
cmk,28,4.074449120109252e-08
cmg,26,3.783417040101449e-08
